epoch,step,train_loss
0,49,62.277496337890625
1,99,42.985103607177734
2,149,44.28047180175781
3,199,39.56124496459961
4,249,48.98191452026367
5,299,41.33978271484375
6,349,38.171539306640625
7,399,47.638214111328125
8,449,41.07624816894531
9,499,40.39472198486328
10,549,106.73448181152344
11,599,96.05137634277344
12,649,101.6628646850586
13,699,94.64021301269531
14,749,95.956787109375
15,799,0.692794144153595
16,849,88.4446029663086
17,899,91.1867904663086
18,949,88.47564697265625
19,999,96.18559265136719
20,1049,89.81254577636719
21,1099,-12.065475463867188
22,1149,94.85899353027344
23,1199,92.68682861328125
24,1249,88.2337875366211
25,1299,91.81133270263672
26,1349,96.52578735351562
27,1399,-1.3425039052963257
28,1449,93.99949645996094
29,1499,90.62606048583984
30,1549,95.0855712890625
31,1599,100.4154281616211
32,1649,93.94853210449219
33,1699,88.17149353027344
34,1749,89.23201751708984
35,1799,92.02061462402344
36,1849,107.6664047241211
37,1899,92.09117126464844
38,1949,89.9687728881836
39,1999,95.73448944091797
40,2049,92.60490417480469
41,2099,85.4630126953125
42,2149,91.82945251464844
43,2199,96.1789779663086
44,2249,85.9271469116211
45,2299,87.12840270996094
46,2349,86.45250701904297
47,2399,89.98638916015625
48,2449,88.433349609375
49,2499,81.24577331542969
