epoch,step,train_loss
0,49,24.626956939697266
1,99,29.618642807006836
2,149,13.11732292175293
3,199,10.995001792907715
4,249,12.987491607666016
5,299,10.449605941772461
6,349,11.176246643066406
7,399,10.351383209228516
8,449,9.916845321655273
9,499,9.292900085449219
10,549,30.69281768798828
11,599,26.67571258544922
12,649,27.27809715270996
13,699,26.9239559173584
14,749,25.85024642944336
15,799,0.15303580462932587
16,849,23.39466667175293
17,899,25.20575714111328
18,949,23.846981048583984
19,999,25.109434127807617
20,1049,24.864044189453125
21,1099,-5.5569963455200195
22,1149,24.278148651123047
23,1199,25.719345092773438
24,1249,25.981443405151367
25,1299,23.39775848388672
26,1349,26.32342529296875
27,1399,-0.39946794509887695
28,1449,26.227764129638672
29,1499,24.010250091552734
30,1549,24.825267791748047
31,1599,24.924007415771484
32,1649,24.03180694580078
33,1699,23.539470672607422
34,1749,23.34512710571289
35,1799,23.559072494506836
36,1849,24.022964477539062
37,1899,22.738189697265625
38,1949,22.119014739990234
39,1999,23.168460845947266
40,2049,23.473217010498047
41,2099,21.061012268066406
42,2149,23.80769920349121
43,2199,21.44213104248047
44,2249,24.00454330444336
45,2299,23.35395050048828
46,2349,24.448230743408203
47,2399,26.880996704101562
48,2449,23.748464584350586
49,2499,23.21216583251953
