epoch,step,train_loss
0,49,1.8184846639633179
1,99,1.442382574081421
2,149,1.2752525806427002
3,199,1.1835711002349854
4,249,1.0062522888183594
5,299,1.0350806713104248
6,349,1.0306519269943237
7,399,1.0973351001739502
8,449,1.0084117650985718
9,499,1.0404356718063354
10,549,2.6543283462524414
11,599,2.4364044666290283
12,649,2.5155935287475586
13,699,2.60192608833313
14,749,2.243492841720581
15,799,0.11133959144353867
16,849,2.280364990234375
17,899,2.2202672958374023
18,949,2.1542258262634277
19,999,2.074113607406616
20,1049,2.052124500274658
21,1099,-0.09667323529720306
22,1149,2.120032548904419
23,1199,2.1610732078552246
24,1249,2.2821767330169678
25,1299,2.277451515197754
26,1349,2.2597198486328125
27,1399,-0.09306605905294418
28,1449,2.112942695617676
29,1499,2.2216298580169678
30,1549,2.0244250297546387
31,1599,2.1303234100341797
32,1649,2.260695457458496
33,1699,2.0187058448791504
34,1749,2.038177728652954
35,1799,2.1342926025390625
36,1849,2.097984790802002
37,1899,2.083144187927246
38,1949,2.046015501022339
39,1999,1.9126225709915161
40,2049,2.328413963317871
41,2099,2.266573429107666
42,2149,1.9367777109146118
43,2199,2.0470941066741943
44,2249,2.139552354812622
45,2299,2.025773286819458
46,2349,1.8987356424331665
47,2399,1.8803012371063232
48,2449,2.0358550548553467
49,2499,1.8365235328674316
